,age_group,travel_with,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,payment_mode,first_trip_tz,total_cost,IncomeGroup,total_visitors
0,45-64,Friends/Relatives,Holiday,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,674602.5,High-income countries,2.0
1,25-44,Alone,Holiday,Others,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,3214906.5,High-income countries,1.0
2,25-44,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,0-5,1,Cash,No,3315000.0,High-income countries,1.0
3,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7+,0,Cash,Yes,7790250.0,High-income countries,2.0
4,`1-24,Alone,Holiday,Wildlife,Agent,Independent,No,No,No,No,No,No,No,10-15,1,Cash,Yes,1657500.0,Upper-middle-income countries,1.0
5,25-44,Alone,Holiday,Wildlife,Agent,Package Tour,No,No,No,No,Yes,Yes,No,10-15,1,Cash,Yes,120950.0,High-income countries,1.0
6,45-64,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,10-15,0,Cash,Yes,466140.0,Upper-middle-income countries,1.0
7,45-64,Friends/Relatives,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7+,1,Cash,Yes,3480750.0,High-income countries,2.0
8,25-44,Alone,Holiday,Others,Agent,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,994500.0,Lower-middle-income countries,1.0
9,25-44,Alone,Others,Wildlife,Agent,Independent,No,No,No,No,No,No,No,10-15,0,Credit Card,Yes,2486250.0,Lower-middle-income countries,1.0
10,25-44,Spouse,Holiday,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,1117155.0,Upper-middle-income countries,2.0
11,45-64,Children,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,8121750.0,High-income countries,2.0
12,45-64,Children,Holiday,Wildlife,Agent,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,331500.0,High-income countries,2.0
13,25-44,Friends/Relatives,Holiday,Wildlife,Friends,Package Tour,Yes,Yes,Yes,Yes,No,No,No,7+,0,Cash,Yes,11346650.0,High-income countries,2.0
14,25-44,Alone,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,497250.0,Low-income countries,1.0
15,65+,Alone,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,1,Cash,Yes,331500.0,Low-income countries,1.0
16,45-64,Friends/Relatives,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,2000000.0,High-income countries,5.0
17,25-44,Alone,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,10-15,0,Cash,Yes,331500.0,Lower-middle-income countries,1.0
18,25-44,Children,Others,Others,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,2269330.0,High-income countries,2.0
19,25-44,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,377520.0,Lower-middle-income countries,1.0
20,`1-24,Alone,Others,Others,Others,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,711262.5,High-income countries,1.0
21,45-64,Alone,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,497250.0,Lower-middle-income countries,1.0
22,45-64,Children,Holiday,Wildlife,Friends,Package Tour,Yes,Yes,No,No,No,No,No,7+,0,Credit Card,No,7458750.0,High-income countries,2.0
23,25-44,Spouse,Holiday,Beach,Others,Independent,No,No,No,No,No,No,No,0-5,1,Cash,Yes,3734347.5,Lower-middle-income countries,2.0
24,`1-24,Friends/Relatives,Holiday,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,5673325.0,High-income countries,2.0
25,`1-24,Friends/Relatives,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,400000.0,High-income countries,4.0
